,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch
0,70,197,1,5,126,457,1,3,3,1,0,0,21,2,2,0,2,5,5,44,0,1,0,13,14,2,0,1,2,1,3,3,1,3,120,1,0,518,251,1,2,1,3,189,0,0,1,0,1,0,2,1,2,2,6,1,5,29,1,2,145,3,3,2,0,0,0,0,51
1,197,260,11,5,18,134,1,3,3,1,4,0,7,2,2,4,2,4,4,87,34,1,0,6,6,1,107,2,2,1,4,3,2,6,365,5,131,64,403,1,2,1,3,362,0,0,1,0,2,0,2,1,3,3,6,0,1,73,3,1,48,3,3,2,0,93,0,0,0
2,160,191,1,1,36,236,1,3,3,1,4,0,11,2,2,0,2,4,8,36,57,3,0,8,8,2,0,2,2,0,3,3,1,5,512,1,0,61,234,1,4,1,3,319,0,0,0,0,1,0,2,1,3,3,6,0,5,20,1,1,21,3,1,0,109,0,16,1,0
3,188,149,6,5,56,509,1,3,3,1,0,0,20,2,2,0,5,3,7,11,53,1,0,8,8,2,0,2,3,0,2,3,1,1,0,1,0,336,26,1,3,1,3,87,24,0,0,0,1,0,2,1,2,4,6,0,5,30,1,1,57,3,3,0,0,0,93,0,16
4,702,586,5,5,46,561,1,3,3,1,4,0,17,2,2,0,5,7,5,104,51,1,0,12,13,2,0,2,2,2,4,3,1,6,435,1,0,119,211,1,4,1,3,152,339,0,1,0,2,1,3,1,3,4,6,0,1,90,3,2,259,3,3,2,0,35,0,0,0
5,874,503,9,5,40,357,1,3,3,1,0,0,7,2,2,0,6,6,4,106,53,1,0,6,6,1,330,2,2,3,0,0,0,0,0,0,0,0,0,1,4,1,3,12,571,0,0,0,3,0,4,1,3,5,6,1,3,92,2,2,375,3,3,2,0,0,99,0,0
6,122,81,0,6,36,233,1,3,2,1,4,1,20,2,2,1,2,3,3,56,3,1,0,8,8,2,0,0,2,1,2,3,1,1,0,1,0,751,308,1,2,0,3,258,0,0,0,0,1,0,2,1,2,2,4,0,5,63,1,2,301,3,3,2,0,23,57,0,0
7,351,466,0,5,29,96,1,3,3,1,4,0,0,2,2,0,2,6,4,110,58,1,0,14,15,1,7,2,2,2,4,3,4,1,0,1,0,855,484,1,4,1,3,532,0,0,0,0,2,0,2,1,3,3,6,1,1,96,3,2,167,3,3,2,62,15,0,0,0
8,89,252,0,5,50,1319,1,3,3,1,0,0,14,2,2,0,2,4,5,87,34,1,0,6,9,2,0,1,2,1,3,3,1,5,439,1,0,164,257,1,2,1,3,217,0,0,0,0,1,0,3,1,2,4,6,0,1,73,1,2,219,3,3,2,0,0,0,0,0
9,216,264,14,6,11,92,1,3,3,1,4,0,7,2,2,4,6,5,4,108,55,1,0,12,13,3,48,1,2,2,4,3,4,6,298,1,0,44,66,1,4,1,3,383,0,0,1,0,1,0,2,1,3,3,6,0,2,94,3,2,256,3,3,2,0,34,0,0,0
10,428,565,11,5,24,247,1,3,3,1,4,0,19,2,2,4,2,7,4,109,57,3,0,8,8,1,145,2,2,2,4,3,1,6,4,1,0,915,634,1,4,1,3,608,0,0,0,0,2,0,2,1,3,4,6,1,1,96,2,2,278,3,3,2,0,26,0,0,0
11,372,244,5,5,39,1001,1,3,3,1,4,0,14,2,2,0,5,4,4,94,41,1,0,6,6,2,0,1,2,2,4,3,1,3,292,1,0,118,94,1,3,1,3,42,191,0,0,0,1,1,3,1,2,4,6,0,5,82,1,2,301,3,3,2,6,0,0,0,0
12,73,45,1,6,38,376,1,3,3,1,0,0,20,2,2,0,2,3,5,26,0,1,0,8,8,2,0,1,2,0,2,3,1,1,0,1,0,701,255,1,2,1,3,192,0,0,0,0,1,0,2,1,2,3,6,0,5,10,1,2,63,3,3,0,0,0,67,0,0
13,474,352,0,5,126,791,1,2,3,1,4,0,15,2,2,0,2,5,4,66,13,1,0,9,9,1,191,1,2,1,4,3,1,4,410,1,0,646,675,1,3,1,3,647,0,0,1,0,1,1,3,1,2,4,6,2,1,52,2,2,246,3,3,2,0,65,0,0,62
14,590,551,0,5,46,717,1,3,3,1,4,0,5,2,2,0,2,6,4,105,53,1,0,12,13,1,76,2,2,2,4,3,3,6,573,1,0,599,768,1,4,1,3,746,0,0,1,0,2,0,3,1,3,5,6,0,1,91,2,2,263,3,3,2,146,63,0,0,0
15,715,368,5,5,26,579,1,2,3,1,4,0,23,2,2,0,5,5,4,96,44,1,0,6,6,1,82,2,2,2,4,3,1,6,403,1,0,227,271,1,4,1,3,214,295,0,0,1,2,1,3,1,3,5,6,0,1,82,2,2,209,3,3,2,100,84,0,0,0
16,372,519,0,5,44,650,1,3,3,1,4,0,5,2,2,0,2,6,4,108,57,1,0,12,13,1,49,2,2,2,4,3,1,6,649,1,0,288,588,1,4,1,3,554,0,0,1,0,2,0,3,1,3,4,6,0,1,94,2,2,240,3,3,2,212,86,0,0,0
17,74,24,1,5,21,534,1,3,3,1,4,0,7,2,2,0,2,2,2,20,0,1,0,11,12,2,0,1,2,0,3,3,1,4,13,1,0,676,257,1,2,0,1,194,0,0,1,0,1,0,2,1,2,3,6,0,6,100,0,0,0,0,0,0,0,0,50,0,0
18,654,524,0,5,126,1025,1,2,3,1,4,0,17,2,2,0,2,5,6,80,51,1,0,9,9,1,11,1,2,2,3,3,2,5,797,1,0,341,812,1,3,1,3,800,0,0,1,0,2,0,3,1,3,4,6,2,1,66,2,2,215,3,3,2,122,58,0,0,0
19,230,221,8,5,38,426,1,3,3,1,4,0,14,2,2,0,7,5,4,96,46,1,0,6,6,2,0,1,3,1,4,3,3,3,43,6,93,0,22,1,4,1,3,400,0,0,0,1,1,0,2,1,2,3,6,0,1,82,3,1,168,3,3,2,225,0,0,0,0
20,544,437,0,5,41,385,1,2,3,1,4,0,23,2,2,0,2,6,4,109,56,1,0,12,13,1,125,2,2,2,4,3,1,1,0,1,0,966,718,1,4,1,3,707,0,0,0,0,2,0,3,1,3,5,6,0,1,95,2,2,291,3,3,2,0,23,0,0,0
21,44,153,0,6,26,233,1,3,3,1,4,0,20,2,2,0,2,4,4,51,0,1,0,12,13,2,0,1,2,1,3,3,1,5,39,4,57,434,193,1,4,1,3,135,0,0,0,0,1,0,2,1,2,3,6,0,5,37,1,1,37,3,3,2,0,0,0,0,0
22,231,97,13,6,0,3,1,3,3,1,4,0,13,2,2,3,5,5,8,73,57,1,0,5,5,2,0,1,3,1,3,3,1,6,211,1,0,140,65,1,4,1,3,23,122,0,0,0,2,1,3,1,2,4,6,0,6,100,0,0,0,0,0,2,141,0,0,0,0
23,1153,679,6,6,41,1216,1,2,3,1,0,0,20,2,2,0,5,6,6,3,53,4,0,11,12,2,0,2,2,4,3,2,1,1,0,1,0,886,559,2,2,0,3,591,550,0,0,0,1,1,4,1,3,6,6,1,5,39,1,4,498,3,3,0,135,0,164,0,0
24,231,119,13,6,0,13,1,3,3,1,4,0,2,2,2,3,5,4,4,74,21,1,0,6,6,1,328,1,2,1,3,3,1,3,166,1,0,172,55,1,2,1,3,17,138,0,0,0,1,1,3,1,2,4,6,0,5,86,1,1,90,3,3,2,0,0,0,0,0
25,521,390,5,5,34,1410,1,2,3,1,4,0,8,6,2,0,5,6,4,109,57,1,0,12,13,3,22,1,2,2,4,3,1,1,0,1,0,511,86,1,4,1,3,37,336,0,0,0,2,0,3,1,3,4,6,0,3,96,3,2,190,3,3,2,62,24,0,0,0
26,527,512,0,5,49,676,1,2,1,1,4,0,26,2,2,0,2,7,4,110,57,1,0,12,13,2,0,2,2,2,4,3,3,6,2,1,0,962,721,1,4,1,3,694,0,0,0,0,2,0,3,1,3,5,6,0,1,96,3,3,331,3,3,2,62,10,0,0,0
27,623,420,13,2,126,30,1,3,3,1,4,0,24,2,2,3,5,5,4,103,50,1,0,8,8,1,162,2,2,2,4,3,1,6,229,1,0,311,172,1,4,1,3,122,301,0,0,0,2,1,3,1,3,3,6,0,5,89,1,2,179,3,3,2,0,23,0,0,0
28,975,508,5,5,126,978,1,2,3,1,0,0,17,4,2,0,5,6,5,76,23,1,0,6,6,3,185,1,2,1,4,3,2,5,604,4,3,163,455,1,4,1,3,415,423,0,1,0,2,1,3,1,2,5,6,2,1,62,2,2,219,3,3,2,187,177,131,0,0
29,950,843,0,5,81,1559,1,3,3,1,4,0,19,2,2,0,2,9,4,108,56,3,0,12,13,1,290,3,2,2,5,3,4,6,872,1,0,475,940,1,4,1,3,970,0,0,1,0,2,1,2,1,4,5,6,2,1,94,3,3,506,3,3,2,142,55,0,0,56
30,87,77,1,6,26,215,1,3,3,1,4,0,20,0,2,0,2,4,7,43,46,1,0,8,8,2,0,1,2,0,2,3,1,1,0,1,0,142,4,1,3,1,0,214,0,0,0,0,1,0,2,1,2,2,6,0,1,28,1,1,53,3,3,2,100,11,38,0,0
31,360,407,0,5,40,423,1,3,3,1,4,0,8,2,2,0,2,6,5,110,57,1,0,12,13,1,0,2,2,2,4,3,1,1,0,1,0,888,563,1,4,1,3,541,0,0,0,0,2,0,3,1,3,4,6,0,1,96,2,2,198,3,3,2,0,0,0,0,0
32,412,506,0,5,76,1648,1,2,3,1,0,0,8,2,2,0,2,5,4,108,55,1,0,12,13,2,0,2,2,2,4,3,1,1,0,1,0,918,619,1,4,1,3,593,0,0,0,0,2,0,3,1,3,4,6,0,1,94,3,2,169,3,3,2,17,14,0,0,0
33,828,527,4,5,40,1394,1,3,2,1,4,0,3,2,2,0,0,5,6,29,50,2,0,13,14,2,0,1,2,0,3,3,1,1,0,1,0,683,231,1,3,1,3,366,296,0,0,0,1,1,4,1,3,6,6,1,5,12,1,2,125,3,3,0,0,0,0,0,77
34,368,337,0,5,46,466,1,3,3,1,4,0,15,2,2,0,2,4,5,63,10,1,0,3,14,2,0,1,2,1,3,3,1,4,225,2,176,300,584,1,2,1,0,549,0,0,0,0,1,1,3,1,2,4,6,1,5,53,1,1,79,3,3,2,0,0,0,0,0
35,431,567,0,5,64,1247,1,2,3,1,0,0,26,2,2,0,2,6,4,111,58,1,0,12,13,3,35,2,2,2,4,3,1,6,32,1,0,896,629,1,4,1,3,610,0,0,1,0,2,0,3,1,3,4,6,1,1,97,3,3,367,3,3,2,62,38,0,0,0
36,765,496,5,5,44,749,1,2,3,1,4,0,5,2,2,0,5,6,4,102,49,1,0,12,13,2,0,2,2,2,4,3,1,6,323,1,0,282,238,1,4,1,3,189,370,0,0,0,2,1,3,1,3,5,6,0,1,88,2,2,247,3,3,2,96,73,0,0,0
37,4,17,1,6,28,445,1,3,3,1,4,0,20,2,2,0,2,2,4,27,0,1,0,0,0,2,0,1,2,0,2,3,1,2,258,1,0,40,47,1,2,1,3,10,0,0,1,0,1,0,1,1,2,1,6,0,5,11,1,1,13,2,3,0,0,0,37,0,0
38,940,493,5,5,126,1263,1,2,3,1,4,0,17,2,2,0,5,5,5,79,26,1,0,9,9,1,233,1,2,1,3,3,1,2,66,1,0,573,243,1,2,1,3,424,382,0,0,0,2,1,4,1,3,6,6,1,1,65,3,2,279,3,3,2,0,187,0,0,0
39,152,211,0,5,41,335,1,3,3,1,4,0,15,2,2,0,2,4,5,69,16,3,0,6,6,1,29,1,2,1,3,3,1,4,502,1,0,208,352,1,2,1,3,306,0,0,1,0,1,0,3,1,2,3,6,0,5,63,1,1,117,3,3,2,0,0,0,0,0
40,1008,722,5,5,126,1097,1,3,3,1,2,0,18,2,2,0,5,8,4,103,50,3,0,12,13,1,230,2,2,2,5,3,2,1,0,1,0,983,759,1,4,1,3,744,183,0,0,0,2,1,4,1,4,6,6,1,3,89,2,3,387,3,3,2,117,135,0,0,0
41,222,233,0,5,47,730,1,3,2,1,0,0,14,2,2,0,2,5,4,86,33,1,0,12,13,2,0,1,3,2,3,3,1,5,192,1,0,618,436,1,2,1,3,390,0,0,0,0,1,1,3,1,2,3,6,0,1,72,1,2,219,3,3,2,77,0,86,0,0
42,401,460,0,5,52,1158,1,2,3,1,0,0,15,2,2,0,2,6,6,61,51,1,4,6,6,1,87,1,2,1,3,3,1,4,430,1,0,563,613,1,4,1,3,585,0,0,0,0,1,1,3,1,2,4,6,1,1,47,2,2,229,3,3,2,0,224,80,0,0
43,115,230,0,5,126,609,1,2,3,1,4,0,22,5,2,0,2,4,5,66,13,1,0,6,6,2,0,1,2,2,3,3,1,5,79,1,0,614,299,1,3,1,3,248,0,0,1,0,1,0,2,1,2,3,6,0,5,79,1,2,219,3,3,2,156,63,0,0,0
44,588,305,6,5,36,1064,1,3,3,1,4,0,20,2,2,0,5,4,8,9,49,1,0,13,6,2,0,1,3,1,4,3,3,1,0,1,0,608,158,1,4,1,3,107,286,0,0,0,1,1,3,1,3,4,6,0,6,100,0,0,0,0,0,0,0,99,0,0,0
45,1084,765,5,5,77,1493,1,2,3,1,0,0,19,2,2,0,5,7,4,108,56,1,0,12,13,1,280,2,2,2,5,3,3,1,0,1,0,859,495,1,4,1,3,460,519,0,0,0,3,1,4,1,3,7,6,1,3,94,2,3,492,3,3,2,192,136,0,0,0
46,898,554,5,5,35,1231,1,2,3,1,4,0,8,2,2,0,5,6,4,107,55,1,0,12,13,2,0,2,2,2,4,3,3,1,0,1,0,692,242,1,4,1,3,182,479,0,0,0,2,1,4,1,3,6,6,1,3,93,3,2,173,3,3,2,62,38,0,0,0
47,741,220,4,5,36,1169,1,3,3,1,4,0,7,2,2,0,0,4,3,52,58,1,0,13,14,2,0,1,2,1,3,3,1,2,161,1,0,401,179,1,3,1,3,450,139,0,0,0,1,1,3,1,2,6,4,1,1,38,1,1,57,3,3,2,0,0,0,0,46
48,122,134,1,6,32,151,1,3,3,1,4,0,20,0,2,0,2,4,6,26,0,1,0,13,14,2,0,1,2,2,3,3,1,4,386,1,0,294,308,1,2,1,3,258,0,0,1,0,1,0,2,1,2,3,6,1,6,100,0,0,0,0,0,1,26,0,73,0,0
49,340,136,4,6,36,992,1,3,3,1,0,0,20,2,2,0,5,4,5,17,31,1,0,13,14,2,0,1,2,2,3,3,1,1,0,1,0,370,35,1,3,1,3,66,124,0,0,0,1,1,2,1,2,3,6,0,5,55,1,2,179,3,3,2,42,0,67,0,0
50,1141,315,10,5,36,1077,1,3,3,1,4,0,21,2,2,2,5,4,5,29,0,3,0,13,9,2,0,1,2,2,3,3,2,3,222,1,0,742,602,3,1,0,0,573,543,0,2,0,2,0,6,2,2,10,4,0,6,100,0,0,0,0,0,2,0,238,138,0,0
51,615,489,11,2,8,101,1,2,3,1,4,0,24,2,2,4,2,7,4,109,57,1,0,12,13,3,16,2,2,2,4,3,1,6,24,1,0,963,754,1,4,1,3,769,0,0,1,0,2,0,2,1,3,3,6,0,1,95,3,2,211,3,3,2,0,106,0,0,0
52,840,423,8,5,54,1265,1,3,3,1,4,0,17,2,2,0,7,5,6,87,53,3,0,12,13,1,46,1,2,1,4,3,1,1,0,1,0,492,80,1,4,1,3,442,248,0,0,0,3,1,3,1,2,5,6,1,3,73,3,2,212,3,3,2,215,99,0,0,38
53,493,432,0,5,39,582,1,3,3,1,2,0,5,2,2,0,2,6,4,107,54,1,0,12,13,1,71,2,2,2,4,3,3,1,0,1,0,954,693,1,4,1,3,664,0,0,0,0,2,0,3,1,3,5,6,0,1,93,2,2,346,3,3,2,146,50,0,0,0
54,316,428,10,5,36,1064,1,3,3,1,4,0,7,2,2,2,2,4,4,90,38,1,0,9,9,2,0,1,2,1,4,4,4,6,797,1,0,0,528,1,2,1,3,496,0,0,3,0,3,0,3,1,2,3,6,0,6,100,0,0,0,0,0,2,77,0,0,0,0
